index,IN,lat,lon
0,121664.0,40.703082,-74.012983
1,6660.0,40.689945,-73.872564
2,16872.0,40.69132,-73.867135
3,16468.0,40.692304,-73.860151
4,20230.0,40.693866,-73.851568
5,9791.0,40.695184,-73.844326
6,11424.0,40.697405,-73.836354
7,10258.0,40.700536,-73.828382
8,147507.0,40.757303,-73.989787
9,225731.0,40.757303,-73.989787
10,270920.0,40.752247,-73.993456
11,78199.0,40.752247,-73.993456
12,207895.0,40.709938,-74.007983
13,106526.0,40.760179,-73.975196
14,32575.0,40.75753,-73.969102
15,149639.0,40.75753,-73.969102
16,214631.0,40.746655,-73.891361
17,95372.0,40.712622,-73.783815
18,255150.0,40.758652,-73.981311
19,170731.0,40.754198,-73.984573
20,305562.0,40.749533,-73.987899
21,198902.0,40.749533,-73.987899
22,100877.0,40.700488,-73.807933
23,173372.0,40.702131,-73.80111
24,115025.0,40.706864,-74.009056
25,126040.0,40.709938,-74.007983
26,255038.0,40.712557,-74.009807
27,105057.0,40.715436,-74.009335
28,148774.0,40.750329,-73.991096
29,160110.0,40.755905,-73.986504
30,238064.0,40.755905,-73.986504
31,30983.0,40.815596,-73.958395
32,108895.0,40.840778,-73.940091
33,28590.0,40.860523,-73.925575
34,26829.0,40.864653,-73.918719
35,8465.0,40.869359,-73.915329
36,23082.0,40.874551,-73.909879
37,38956.0,40.878867,-73.904858
38,122109.0,40.704782,-74.014099
39,21167.0,40.704782,-74.014099
40,94697.0,40.707466,-74.011867
41,106771.0,40.713159,-74.003917
42,105439.0,40.751849,-73.976945
43,273700.0,40.751849,-73.976945
44,188910.0,40.751849,-73.976945
45,55130.0,40.751849,-73.976945
46,92355.0,40.757108,-73.97187
47,116426.0,40.762796,-73.967686
48,154476.0,40.762796,-73.967686
49,31401.0,40.885973,-73.878851
50,95905.0,40.816132,-73.917754
51,53443.0,40.753824,-73.981966
52,248520.0,40.759578,-73.830056
53,46081.0,40.688269,-73.980453
54,189846.0,40.684063,-73.977417
55,16613.0,40.680801,-73.975132
56,31213.0,40.675219,-73.971012
57,20447.0,40.672013,-73.96436
58,18086.0,40.669735,-73.950455
59,118095.0,40.669279,-73.932967
60,33788.0,40.664591,-73.922668
